ID,Test,Paw,CFA,Expt,VF
431,TMT + 3D,Left,Naive,DMSO,1.055333826
432,TMT + 3D,Left,Naive,DMSO,1.012874761
433,TMT + 3D,Left,Naive,DMSO,0.850072581
434,TMT + 3D,Left,Naive,DMSO,1.055333826
435,TMT + 3D,Left,CFA,DMSO,0.453525814
436,TMT + 3D,Left,CFA,DMSO,0.27994337
437,TMT + 3D,Left,CFA,DMSO,0.410415998
438,TMT + 3D,Left,CFA,DMSO,0.387349792
439,TMT + 3D,Left,Naive,DMSO,1.507076021
440,TMT + 3D,Left,Naive,DMSO,0.661465503
441,TMT + 3D,Left,Naive,DMSO,1.205016723
442,TMT + 3D,Left,Naive,DMSO,1.000921277
443,TMT + 3D,Left,CFA,DMSO,0.230908902
444,TMT + 3D,Left,CFA,DMSO,0.351631792
445,TMT + 3D,Left,CFA,DMSO,0.491044703
446,TMT + 3D,Left,CFA,DMSO,0.086271862
431,TMT + 3D,Right,Naive,DMSO,1.166062368
432,TMT + 3D,Right,Naive,DMSO,1.220439149
433,TMT + 3D,Right,Naive,DMSO,0.893526597
434,TMT + 3D,Right,Naive,DMSO,0.74221615
435,TMT + 3D,Right,CFA,DMSO,0.485344878
436,TMT + 3D,Right,CFA,DMSO,0.392654778
437,TMT + 3D,Right,CFA,DMSO,0.288345805
438,TMT + 3D,Right,CFA,DMSO,0.677010975
439,TMT + 3D,Right,Naive,DMSO,1.262323012
440,TMT + 3D,Right,Naive,DMSO,1.619276232
441,TMT + 3D,Right,Naive,DMSO,0.676891747
442,TMT + 3D,Right,Naive,DMSO,0.894129147
443,TMT + 3D,Right,CFA,DMSO,0.18703613
444,TMT + 3D,Right,CFA,DMSO,0.270526341
445,TMT + 3D,Right,CFA,DMSO,0.484383918
446,TMT + 3D,Right,CFA,DMSO,0.225282531
431,TMT + 7D,Left,Naive,DMSO,0.894804477
432,TMT + 7D,Left,Naive,DMSO,1.051318124
433,TMT + 7D,Left,Naive,DMSO,1.378230677
434,TMT + 7D,Left,Naive,DMSO,0.961628822
435,TMT + 7D,Left,CFA,DMSO,0.258109926
436,TMT + 7D,Left,CFA,DMSO,0.614962798
437,TMT + 7D,Left,CFA,DMSO,0.338155069
438,TMT + 7D,Left,CFA,DMSO,0.214765134
439,TMT + 7D,Left,Naive,DMSO,0.894804477
440,TMT + 7D,Left,Naive,DMSO,1.051318124
441,TMT + 7D,Left,Naive,DMSO,1.205016723
442,TMT + 7D,Left,Naive,DMSO,1.076650427
443,TMT + 7D,Left,CFA,DMSO,0.40789772
444,TMT + 7D,Left,CFA,DMSO,0.218252803
445,TMT + 7D,Left,CFA,DMSO,0.353543812
446,TMT + 7D,Left,CFA,DMSO,0.252490823
431,TMT + 7D,Right,Naive,DMSO,1.324047684
432,TMT + 7D,Right,Naive,DMSO,1.093959848
433,TMT + 7D,Right,Naive,DMSO,1.095237729
434,TMT + 7D,Right,Naive,DMSO,1.378230677
435,TMT + 7D,Right,CFA,DMSO,0.511149219
436,TMT + 7D,Right,CFA,DMSO,0.433134906
437,TMT + 7D,Right,CFA,DMSO,0.38546061
438,TMT + 7D,Right,CFA,DMSO,0.219657991
439,TMT + 7D,Right,Naive,DMSO,1.546979924
440,TMT + 7D,Right,Naive,DMSO,1.078537422
441,TMT + 7D,Right,Naive,DMSO,0.893526597
442,TMT + 7D,Right,Naive,DMSO,1.11655433
443,TMT + 7D,Right,CFA,DMSO,0.470547149
444,TMT + 7D,Right,CFA,DMSO,0.402873839
445,TMT + 7D,Right,CFA,DMSO,0.238517617
446,TMT + 7D,Right,CFA,DMSO,0.402023673
