ID,Test,Paw,CFA,Expt,VF
410,BA + 3D,Left,Naive,BA,0.853622694
411,BA + 3D,Left,CFA,BA,1.088108123
412,BA + 3D,Left,CFA,BA,1.153019637
413,BA + 3D,Left,CFA,BA,1.253029256
414,BA + 3D,Left,CFA,BA,1.378230677
399,BA + 3D,Right,Naive,BA,1.055333826
400,BA + 3D,Right,Naive,BA,1.673459225
401,BA + 3D,Right,Naive,BA,1.15196431
402,BA + 3D,Right,Naive,BA,1.153019637
403,BA + 3D,Right,CFA,BA,1.055333826
404,BA + 3D,Right,CFA,BA,0.916121078
405,BA + 3D,Right,CFA,BA,1.167534037
406,BA + 3D,Right,CFA,BA,1.11783221
407,BA + 3D,Right,Naive,BA,1.378230677
408,BA + 3D,Right,Naive,BA,1.437726642
409,BA + 3D,Right,Naive,BA,1.027818216
410,BA + 3D,Right,Naive,BA,0.818498223
411,BA + 3D,Right,CFA,BA,1.055333826
412,BA + 3D,Right,CFA,BA,0.996495417
413,BA + 3D,Right,CFA,BA,1.076650426
414,BA + 3D,Right,CFA,BA,1.020005898
399,BA + 7D,Left,Naive,BA,0.853622694
400,BA + 7D,Left,Naive,BA,1.051318125
401,BA + 7D,Left,Naive,BA,1.166256157
402,BA + 7D,Left,Naive,BA,1.093959848
403,BA + 7D,Left,CFA,BA,0.995217536
404,BA + 7D,Left,CFA,BA,1.220439149
405,BA + 7D,Left,CFA,BA,1.012397036
406,BA + 7D,Left,CFA,BA,0.815910453
407,BA + 7D,Left,Naive,BA,1.180535246
408,BA + 7D,Left,Naive,BA,0.966962662
409,BA + 7D,Left,Naive,BA,0.86822035
410,BA + 7D,Left,Naive,BA,0.966962662
411,BA + 7D,Left,CFA,BA,0.815910453
412,BA + 7D,Left,CFA,BA,1.507076021
413,BA + 7D,Left,CFA,BA,0.965483311
414,BA + 7D,Left,CFA,BA,1.180535246
399,BA + 7D,Right,Naive,BA,1.180535246
400,BA + 7D,Right,Naive,BA,0.965822906
401,BA + 7D,Right,Naive,BA,1.180535246
402,BA + 7D,Right,Naive,BA,1.093959848
403,BA + 7D,Right,CFA,BA,1.251751376
